participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp022	1.0	0.0	997.7999999988824	13
sub-pp022	1.0	0.0	1112.0	42
sub-pp022	1.0	0.0	1260.0	64
sub-pp022	1.0	0.0	1736.4000000003723	75
sub-pp022	1.0	0.0	2785.0999999996275	926
sub-pp022	1.0	0.0	1553.7000000011176	574
sub-pp022	1.0	0.0	4911.4000000003725	9728
sub-pp022	1.0	0.0	3899.300000000745	8694
sub-pp022	0.0	1.0	3027.199999999255	34865
sub-pp022	1.0	0.0	8659.0	68451
sub-pp022	0.0	1.0	14412.799999998882	84135
sub-pp022	0.0	1.0	7886.0	68247
